name,f1_score,num_flows,num_partitions,dataset
cap,0.46,983040,1,D1
cap,0.17727673117161072,983040,2,D1
cap,0.16281868645322686,983040,3,D1
cap,0.17191308557381899,983040,4,D1
cap,0.0374614723231784,983040,5,D1
cap,0.08424712483662897,786432,6,D1
cap,0.1425266772510819,786432,7,D1
