name,ttd,cdf
netbeacon,0.0,0.0
netbeacon,0.01,0.001001001001001001
netbeacon,0.01,0.002002002002002002
netbeacon,0.01,0.003003003003003003
netbeacon,0.01,0.004004004004004004
netbeacon,0.01,0.005005005005005005
netbeacon,0.02,0.006006006006006006
netbeacon,0.02,0.007007007007007007
netbeacon,0.02,0.008008008008008008
netbeacon,0.03,0.009009009009009009
netbeacon,0.08,0.01001001001001001
netbeacon,0.08,0.011011011011011011
netbeacon,0.09,0.012012012012012012
netbeacon,0.09,0.013013013013013013
netbeacon,0.1,0.014014014014014014
netbeacon,0.1,0.015015015015015015
netbeacon,0.11,0.016016016016016016
netbeacon,0.11,0.017017017017017015
netbeacon,0.12,0.018018018018018018
netbeacon,0.12,0.01901901901901902
netbeacon,0.13,0.02002002002002002
netbeacon,0.15,0.02102102102102102
netbeacon,0.16,0.022022022022022022
netbeacon,0.16,0.023023023023023025
netbeacon,0.16,0.024024024024024024
netbeacon,0.16,0.025025025025025023
netbeacon,0.16,0.026026026026026026
netbeacon,0.16,0.02702702702702703
netbeacon,0.16,0.028028028028028028
netbeacon,0.16,0.029029029029029027
netbeacon,0.17,0.03003003003003003
netbeacon,0.17,0.031031031031031032
netbeacon,0.17,0.03203203203203203
netbeacon,0.17,0.03303303303303303
netbeacon,0.17,0.03403403403403403
netbeacon,0.17,0.035035035035035036
netbeacon,0.17,0.036036036036036036
netbeacon,0.17,0.037037037037037035
netbeacon,0.17,0.03803803803803804
netbeacon,0.17,0.03903903903903904
netbeacon,0.17,0.04004004004004004
netbeacon,0.18,0.04104104104104104
netbeacon,0.19,0.04204204204204204
netbeacon,0.2,0.043043043043043044
netbeacon,0.23,0.044044044044044044
netbeacon,0.24,0.04504504504504504
netbeacon,0.25,0.04604604604604605
netbeacon,0.26,0.04704704704704705
netbeacon,0.27,0.04804804804804805
netbeacon,0.27,0.04904904904904905
netbeacon,0.27,0.050050050050050046
netbeacon,0.28,0.05105105105105105
netbeacon,0.28,0.05205205205205205
netbeacon,0.29,0.05305305305305305
netbeacon,0.3,0.05405405405405406
netbeacon,0.31,0.055055055055055056
netbeacon,0.32,0.056056056056056056
netbeacon,0.33,0.057057057057057055
netbeacon,0.33,0.058058058058058054
netbeacon,0.33,0.05905905905905906
netbeacon,0.33,0.06006006006006006
netbeacon,0.34,0.06106106106106106
netbeacon,0.39,0.062062062062062065
netbeacon,0.41,0.06306306306306306
netbeacon,0.42,0.06406406406406406
netbeacon,0.45,0.06506506506506507
netbeacon,0.49,0.06606606606606606
netbeacon,0.55,0.06706706706706707
netbeacon,0.63,0.06806806806806806
netbeacon,0.63,0.06906906906906907
netbeacon,0.64,0.07007007007007007
netbeacon,0.64,0.07107107107107107
netbeacon,0.64,0.07207207207207207
netbeacon,0.64,0.07307307307307308
netbeacon,0.64,0.07407407407407407
netbeacon,0.64,0.07507507507507508
netbeacon,0.64,0.07607607607607608
netbeacon,0.64,0.07707707707707707
netbeacon,0.65,0.07807807807807808
netbeacon,0.65,0.07907907907907907
netbeacon,0.65,0.08008008008008008
netbeacon,0.65,0.08108108108108109
netbeacon,0.65,0.08208208208208208
netbeacon,0.65,0.08308308308308308
netbeacon,0.65,0.08408408408408408
netbeacon,0.65,0.08508508508508508
netbeacon,0.65,0.08608608608608609
netbeacon,0.65,0.08708708708708708
netbeacon,0.65,0.08808808808808809
netbeacon,0.65,0.0890890890890891
netbeacon,0.66,0.09009009009009009
netbeacon,0.66,0.09109109109109109
netbeacon,0.66,0.0920920920920921
netbeacon,0.66,0.09309309309309309
netbeacon,0.66,0.0940940940940941
netbeacon,0.66,0.09509509509509509
netbeacon,0.67,0.0960960960960961
netbeacon,0.67,0.0970970970970971
netbeacon,0.67,0.0980980980980981
netbeacon,0.67,0.0990990990990991
netbeacon,0.67,0.10010010010010009
netbeacon,0.67,0.1011011011011011
netbeacon,0.67,0.1021021021021021
netbeacon,0.68,0.1031031031031031
netbeacon,0.68,0.1041041041041041
netbeacon,0.68,0.10510510510510511
netbeacon,0.68,0.1061061061061061
netbeacon,0.69,0.10710710710710711
netbeacon,0.69,0.10810810810810811
netbeacon,0.69,0.1091091091091091
netbeacon,0.69,0.11011011011011011
netbeacon,0.69,0.1111111111111111
netbeacon,0.69,0.11211211211211211
netbeacon,0.69,0.11311311311311312
netbeacon,0.69,0.11411411411411411
netbeacon,0.69,0.11511511511511512
netbeacon,0.69,0.11611611611611611
netbeacon,0.69,0.11711711711711711
netbeacon,0.69,0.11811811811811812
netbeacon,0.69,0.11911911911911911
netbeacon,0.69,0.12012012012012012
netbeacon,0.7,0.12112112112112113
netbeacon,0.7,0.12212212212212212
netbeacon,0.7,0.12312312312312312
netbeacon,0.7,0.12412412412412413
netbeacon,0.7,0.12512512512512514
netbeacon,0.7,0.12612612612612611
netbeacon,0.7,0.12712712712712712
netbeacon,0.7,0.12812812812812813
netbeacon,0.7,0.12912912912912913
netbeacon,0.7,0.13013013013013014
netbeacon,0.7,0.13113113113113112
netbeacon,0.7,0.13213213213213212
netbeacon,0.7,0.13313313313313313
netbeacon,0.71,0.13413413413413414
netbeacon,0.71,0.13513513513513514
netbeacon,0.71,0.13613613613613612
netbeacon,0.71,0.13713713713713713
netbeacon,0.73,0.13813813813813813
netbeacon,0.73,0.13913913913913914
netbeacon,0.74,0.14014014014014015
netbeacon,0.75,0.14114114114114115
netbeacon,0.75,0.14214214214214213
netbeacon,0.75,0.14314314314314314
netbeacon,0.77,0.14414414414414414
netbeacon,0.77,0.14514514514514515
netbeacon,0.78,0.14614614614614616
netbeacon,0.8,0.14714714714714713
netbeacon,0.82,0.14814814814814814
netbeacon,0.82,0.14914914914914915
netbeacon,0.82,0.15015015015015015
netbeacon,0.84,0.15115115115115116
netbeacon,0.84,0.15215215215215216
netbeacon,0.85,0.15315315315315314
netbeacon,0.85,0.15415415415415415
