depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
35,1,0.25,0.25,0.5,1.0,0.5,0.2,-0.30075659862803883,-983040.0,1733864026307
40,1,1.0,0.75,0.25,0.5,0.75,0.2,-0.25082113124622796,-983040.0,1733864026307
13,1,0.5,0.5,1.0,1.0,1.0,0.8,-0.30075659862803883,-983040.0,1733864026307
35,1,1.0,0.25,1.0,0.25,0.75,0.8,-0.25173226648195995,-983040.0,1733864026307
31,1,0.75,1.0,0.25,0.0,0.5,0.6,-0.5009498276430668,-983040.0,1733864026307
9,1,0.25,0.0,1.0,0.75,0.75,0.2,-0.4809453596381911,-786432.0,1733864026307
37,1,0.75,0.0,0.5,0.75,0.0,0.4,-0.4476205465507791,-786432.0,1733864026307
11,1,0.25,0.25,0.5,0.75,0.75,0.8,-0.45549490150886096,-983040.0,1733864026307
30,1,1.0,0.75,0.5,1.0,0.25,0.0,-0.5303961880147703,-786432.0,1733864026307
33,1,1.0,0.5,0.5,0.75,0.25,0.6,-0.25173226648195995,-983040.0,1733864026307
45,1,0.0,0.75,0.5,1.0,0.0,0.4,-0.4905018310596,-983040.0,1733864026307
19,1,0.75,0.5,0.75,1.0,0.75,0.6,-0.43409662510300184,-983040.0,1733864026307
35,1,0.25,1.0,0.25,0.25,1.0,0.8,-0.30075659862803883,-983040.0,1733864026307
12,1,1.0,1.0,0.25,0.25,0.75,0.2,-0.6201476569657879,-786432.0,1733864026307
42,1,0.75,0.0,0.25,1.0,0.75,0.8,-0.5303961880147703,-786432.0,1733864026307
32,1,0.0,0.0,0.25,0.5,0.0,0.4,-0.3899375000337727,-983040.0,1733864026307
27,1,0.5,0.75,0.5,0.25,0.75,0.0,-0.6297363757256805,-786432.0,1733864026307
36,1,0.75,0.25,0.0,0.5,1.0,0.6,-0.5682518349685172,-786432.0,1733864026307
40,1,0.25,0.5,1.0,1.0,1.0,0.6,-0.30075659862803883,-983040.0,1733864026307
15,1,1.0,0.25,0.0,0.5,0.75,0.0,-0.5205458761563498,-983040.0,1733864026307
40,1,0.75,1.0,0.0,0.0,0.0,0.8,-0.42011247910016725,-786432.0,1733864026307
33,1,0.0,0.75,1.0,0.0,0.5,0.2,-0.4905018310596,-983040.0,1733864026307
