dataset,pkt_level,flow_level,flow_level_with_depth,flow_level_with_depth_top_k_features
D1,0.5107334669390093,0.7526886678897313,0.6215815221300026,0.5085501062680194
D2,0.5481116868002374,0.7977940077640422,0.6635456071274991,0.5558019043853447
D3,0.5154723486185626,0.8218217069356759,0.663386324713443,0.5494855568499973
D4,0.4744811687500141,0.7886840586483442,0.6423868840323637,0.531876892538091
D5,0.6014267423532533,0.8597387598291865,0.7088801242597192,0.5787310083257171
D6,0.5494960699070691,0.8801605680827919,0.7445180192268859,0.6138213915767252
D7,0.5818570636128412,0.9043219213862997,0.7414297894276362,0.613174850896868
