depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
5,3,0.0,0.0,0.0,0.5,0.0,0.4,-0.3017827619815531,-393216.0,1733905682304
8,2,0.25,0.75,0.5,0.5,0.75,0.8,-0.29038849623757357,-491520.0,1733905682304
7,3,1.0,0.25,0.75,0.25,0.75,0.2,-0.35695658782356743,-393216.0,1733905682304
8,2,1.0,1.0,1.0,0.75,0.5,0.8,-0.2846425768083926,-491520.0,1733905682304
5,4,0.5,0.25,0.75,1.0,0.5,0.4,-0.17352494601619647,-294912.0,1733905682304
5,3,0.25,0.5,0.75,1.0,0.75,0.2,-0.17352494601619647,-393216.0,1733905682304
5,3,0.75,0.0,0.75,0.0,0.75,0.6,-0.15875346588095648,-393216.0,1733905682304
7,2,0.0,0.5,1.0,0.5,0.5,0.2,-0.19962993455522635,-491520.0,1733905682304
5,4,0.5,0.5,0.0,0.75,0.0,0.8,-0.1883776883729226,-294912.0,1733905682304
7,3,0.0,0.25,0.5,0.0,0.5,0.4,-0.2794928186524814,-393216.0,1733905682304
7,3,0.25,0.0,0.5,1.0,0.75,0.0,-0.375981639761293,-393216.0,1733905682304
9,2,1.0,0.25,1.0,0.0,0.5,0.8,-0.37962427142451083,-491520.0,1733905682304
8,2,1.0,0.0,0.25,1.0,0.25,0.0,-0.37758180306241435,-491520.0,1733905682304
7,3,0.0,0.0,0.25,0.0,0.25,0.2,-0.3738082818308365,-393216.0,1733905682304
8,3,1.0,0.5,0.25,0.75,0.75,0.2,-0.2693784503505069,-393216.0,1733905682304
5,4,0.25,0.75,1.0,0.0,0.0,0.8,-0.17352494601619647,-294912.0,1733905682304
7,3,0.0,1.0,1.0,0.5,0.75,0.4,-0.25802882708564695,-393216.0,1733905682304
7,3,0.25,0.5,0.5,0.0,0.75,0.4,-0.25294649585521106,-393216.0,1733905682304
9,3,0.0,0.75,1.0,0.25,0.25,0.4,-0.40922062284111194,-393216.0,1733905682304
5,4,0.75,0.25,1.0,1.0,1.0,0.2,-0.17352494601619647,-294912.0,1733905682304
8,4,0.25,0.5,0.0,0.25,0.0,0.4,-0.3213429534709319,-294912.0,1733905682304
9,3,1.0,1.0,0.75,0.75,0.5,0.6,-0.2848651497640643,-393216.0,1733905682304
6,3,0.0,0.25,0.25,0.25,0.5,0.6,-0.24081903298321547,-393216.0,1733905682304
6,2,0.75,1.0,1.0,0.75,0.5,0.6,-0.25342693198299504,-491520.0,1733905682304
8,4,1.0,0.0,1.0,0.25,0.0,0.8,-0.3519386996668235,-294912.0,1733905682304
8,2,0.5,0.75,0.0,1.0,0.5,0.6,-0.4039194066295367,-491520.0,1733905682304
7,4,0.5,0.5,0.0,1.0,0.5,0.6,-0.3795628151251115,-294912.0,1733905682304
7,3,1.0,0.75,0.5,0.75,0.0,0.0,-0.3849671535171284,-393216.0,1733905682304
9,2,0.75,0.25,1.0,0.0,0.5,0.0,-0.3886852774652793,-491520.0,1733905682304
9,2,0.75,0.0,0.75,1.0,0.75,0.8,-0.37962427142451083,-491520.0,1733905682304
7,3,0.25,1.0,0.0,0.25,0.0,0.6,-0.3631979943630175,-393216.0,1733905682304
6,3,0.25,1.0,0.25,0.25,0.75,0.6,-0.2595455239405289,-393216.0,1733905682304
5,3,0.25,0.25,1.0,0.0,0.25,0.2,-0.17352494601619647,-393216.0,1733905682304
7,3,0.25,0.5,0.0,0.25,0.0,0.4,-0.3844217327655531,-393216.0,1733905682304
9,2,0.75,0.5,0.0,0.0,0.25,0.4,-0.3920667416495128,-491520.0,1733905682304
8,3,0.25,0.5,0.75,0.0,0.0,0.2,-0.304609844591534,-393216.0,1733905682304
8,2,0.5,0.0,0.0,0.75,1.0,0.6,-0.3043287775647613,-491520.0,1733905682304
5,4,0.25,0.0,0.0,0.25,0.5,0.0,-0.15875346588095648,-294912.0,1733905682304
6,3,0.0,0.25,0.5,0.0,0.0,0.8,-0.2943028037256259,-393216.0,1733905682304
8,2,0.75,0.0,0.25,0.5,1.0,0.0,-0.24843098762753174,-491520.0,1733905682304
5,3,0.5,1.0,1.0,0.75,0.5,0.4,-0.17352494601619647,-393216.0,1733905682304
8,3,0.5,0.0,0.25,1.0,0.0,0.8,-0.3265056640745853,-393216.0,1733905682304
9,2,0.5,0.25,0.5,0.0,0.0,0.8,-0.2744632464985611,-491520.0,1733905682304
5,3,0.25,0.5,0.5,0.5,1.0,0.8,-0.17352494601619647,-393216.0,1733905682304
7,2,0.5,1.0,0.5,0.5,1.0,0.2,-0.380910732548609,-491520.0,1733905682304
