depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
30,1,1.0,1.0,0.25,1.0,1.0,0.4,-0.07938337849427803,-983040.0,1733862041530
21,1,0.0,0.0,0.25,0.5,0.5,0.8,-0.4681877751487791,-786432.0,1733862041530
22,1,0.75,1.0,0.0,0.0,0.25,0.0,-0.14491186597194985,-786432.0,1733862041530
10,1,1.0,0.0,0.25,0.75,0.0,0.4,-0.22051150496205218,-786432.0,1733862041530
23,1,0.25,0.75,0.0,0.25,0.75,0.0,-0.1287013680029911,-786432.0,1733862041530
15,1,0.25,0.75,0.5,1.0,0.25,0.6,-0.08026715057618744,-786432.0,1733862041530
37,1,0.25,0.75,0.5,0.5,0.25,0.2,-0.34761119648818595,-786432.0,1733862041530
49,1,0.25,1.0,0.0,1.0,0.25,0.4,-0.17760602122048957,-786432.0,1733862041530
14,1,1.0,0.0,0.5,0.75,0.5,0.2,-0.18634274612186377,-786432.0,1733862041530
23,1,0.5,1.0,0.0,0.75,0.25,0.0,-0.2775548578672212,-786432.0,1733862041530
14,1,1.0,0.25,1.0,0.75,0.25,0.8,-0.18147716341694192,-786432.0,1733862041530
30,1,0.75,0.0,0.0,0.75,0.75,0.2,-0.3173704006775258,-786432.0,1733862041530
13,1,0.0,0.25,0.75,0.0,0.5,0.4,-0.3895204780172055,-786432.0,1733862041530
26,1,0.0,0.0,0.25,0.5,0.5,0.0,-0.4428033155839228,-786432.0,1733862041530
39,1,0.5,0.5,1.0,0.25,1.0,0.0,-0.32604201324825016,-786432.0,1733862041530
32,1,0.5,0.5,0.75,0.25,0.75,0.4,-0.07938337849427803,-983040.0,1733862041530
21,1,1.0,0.25,0.0,0.0,0.25,0.6,-0.3210719090345319,-786432.0,1733862041530
32,1,0.75,0.0,0.25,1.0,0.0,0.8,-0.3886585285053866,-786432.0,1733862041530
34,1,0.75,0.25,0.25,1.0,0.5,0.0,-0.3847065297561657,-786432.0,1733862041530
44,1,0.75,0.75,0.5,0.25,0.75,0.6,-0.07938337849427803,-983040.0,1733862041530
8,1,0.5,0.25,0.0,0.75,0.0,0.6,-0.2906656570606832,-786432.0,1733862041530
30,1,0.75,0.0,0.25,0.25,1.0,0.0,-0.32654191678728794,-786432.0,1733862041530
13,1,0.25,1.0,0.25,0.75,0.5,0.0,-0.1287013680029911,-786432.0,1733862041530
37,1,0.75,0.75,0.5,1.0,1.0,0.6,-0.07938337849427803,-983040.0,1733862041530
28,1,1.0,0.0,1.0,0.75,1.0,0.2,-0.3828917631051335,-786432.0,1733862041530
20,1,0.25,0.75,1.0,0.25,0.5,0.2,-0.08026715057618744,-786432.0,1733862041530
25,1,0.25,0.5,1.0,1.0,0.25,0.8,-0.29013837036191653,-786432.0,1733862041530
22,1,1.0,0.25,0.0,1.0,1.0,0.8,-0.31562853594156504,-786432.0,1733862041530
40,1,1.0,1.0,0.0,0.5,0.5,0.0,-0.4659948080410639,-786432.0,1733862041530
30,1,1.0,1.0,0.25,0.5,0.0,0.2,-0.4227183759027643,-786432.0,1733862041530
