depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
33,1,0.75,0.5,0.25,0.75,0.75,0.8,-0.47931969697658977,-983040.0,1733864327536
30,1,1.0,0.5,0.5,0.5,0.75,0.4,-0.4806117815940508,-983040.0,1733864327536
33,1,0.0,1.0,0.0,0.75,0.75,0.6,-0.43295372367862067,-786432.0,1733864327536
46,1,0.75,0.75,0.5,1.0,0.5,0.2,-0.4808630240684635,-983040.0,1733864327536
21,1,0.25,0.0,0.75,0.5,1.0,0.0,-0.45311347843761124,-786432.0,1733864327536
33,1,0.25,0.0,0.0,1.0,1.0,0.6,-0.4178464757169317,-786432.0,1733864327536
36,1,0.25,1.0,0.25,0.0,0.25,0.2,-0.5003277882796986,-786432.0,1733864327536
13,1,0.75,0.5,0.25,0.0,0.75,0.2,-0.4603743005649279,-786432.0,1733864327536
46,1,0.5,0.0,0.75,0.75,0.75,0.0,-0.5372233963618025,-786432.0,1733864327536
42,1,0.0,0.25,0.25,0.0,0.75,0.4,-0.4445766962901704,-786432.0,1733864327536
23,1,0.5,0.25,1.0,0.0,0.0,0.2,-0.6767377686889887,-786432.0,1733864327536
10,1,0.25,1.0,0.0,0.0,0.25,0.6,-0.5695699383985972,-786432.0,1733864327536
34,1,1.0,0.75,0.75,0.5,0.75,0.2,-0.48080386333946457,-983040.0,1733864327536
34,1,0.5,0.5,1.0,1.0,0.5,0.4,-0.4755163170483696,-786432.0,1733864327536
20,1,0.5,0.25,0.75,0.75,0.25,0.2,-0.6923884330497387,-786432.0,1733864327536
47,1,0.0,1.0,0.25,0.0,0.0,0.4,-0.4804393781451853,-786432.0,1733864327536
40,1,0.75,0.0,0.25,1.0,1.0,0.0,-0.4949763664300124,-786432.0,1733864327536
28,1,1.0,1.0,0.5,1.0,0.5,0.8,-0.47931969697658977,-983040.0,1733864327536
6,1,0.5,0.25,1.0,0.0,0.5,0.4,-0.5697847262929121,-786432.0,1733864327536
25,1,0.5,0.75,0.0,0.75,1.0,0.4,-0.35694337709232704,-786432.0,1733864327536
25,1,0.75,0.0,0.75,0.5,1.0,0.6,-0.437247491483847,-786432.0,1733864327536
22,1,0.0,1.0,0.75,0.5,0.75,0.8,-0.448506254762851,-786432.0,1733864327536
34,1,1.0,1.0,0.0,0.0,0.0,0.6,-0.4807597744436995,-786432.0,1733864327536
11,1,0.5,0.25,0.5,1.0,0.0,0.0,-0.639581905955764,-786432.0,1733864327536
28,1,0.0,0.75,1.0,0.25,0.5,0.8,-0.4558614932842258,-786432.0,1733864327536
8,1,0.25,1.0,1.0,0.75,0.25,0.2,-0.5129238065585703,-786432.0,1733864327536
44,1,0.5,0.5,0.0,0.25,0.25,0.4,-0.437247491483847,-786432.0,1733864327536
8,1,0.25,0.5,1.0,1.0,0.25,0.6,-0.5129238065585703,-786432.0,1733864327536
33,1,0.75,0.75,0.0,0.75,0.5,0.8,-0.44583416189848635,-983040.0,1733864327536
21,1,1.0,0.0,0.75,0.75,0.25,0.8,-0.43769580821382537,-786432.0,1733864327536
34,1,0.25,0.25,0.0,0.75,0.25,0.0,-0.48023323901547715,-786432.0,1733864327536
23,1,1.0,0.5,0.5,0.75,0.0,0.8,-0.3547168213170587,-786432.0,1733864327536
13,1,0.75,0.25,1.0,0.25,0.75,0.6,-0.5586695524253602,-786432.0,1733864327536
40,1,0.0,0.75,1.0,0.0,0.75,0.4,-0.43295372367862067,-786432.0,1733864327536
47,1,0.5,0.25,0.75,0.75,1.0,0.0,-0.43769580821382537,-786432.0,1733864327536
48,1,0.75,0.5,0.0,0.25,0.0,0.4,-0.33238957094231664,-786432.0,1733864327536
32,1,0.75,0.25,0.75,0.25,1.0,0.4,-0.48028397418885493,-983040.0,1733864327536
6,1,0.75,0.25,1.0,0.5,0.25,0.4,-0.5697847262929121,-786432.0,1733864327536
21,1,0.5,0.5,0.25,0.5,1.0,0.0,-0.5949246490958229,-786432.0,1733864327536
34,1,0.25,0.0,0.0,1.0,0.25,0.8,-0.4178464757169317,-786432.0,1733864327536
28,1,1.0,0.75,0.75,0.75,0.25,0.8,-0.47931969697658977,-983040.0,1733864327536
41,1,1.0,0.75,0.0,1.0,1.0,0.4,-0.4067011877000616,-786432.0,1733864327536
48,1,0.0,0.25,0.25,0.5,0.5,0.8,-0.44397746689329126,-786432.0,1733864327536
11,1,0.5,0.0,0.25,0.0,1.0,0.6,-0.6161936429538708,-786432.0,1733864327536
