max_depth,tcam_entries,name
3,168,netbeacon
4,240,netbeacon
5,301,netbeacon
6,364,netbeacon
7,449,netbeacon
8,587,netbeacon
9,725,netbeacon
10,878,netbeacon
11,1011,netbeacon
12,1094,netbeacon
13,1135,netbeacon
14,1233,netbeacon
15,1285,netbeacon
16,1406,netbeacon
17,1487,netbeacon
18,1495,netbeacon
19,1616,netbeacon
20,1642,netbeacon
21,1684,netbeacon
22,1605,netbeacon
23,1651,netbeacon
24,1615,netbeacon
25,1654,netbeacon
26,1605,netbeacon
27,1641,netbeacon
28,1671,netbeacon
29,1680,netbeacon
30,1703,netbeacon
4,70,cap
5,160,cap
6,209,cap
7,358,cap
8,403,cap
9,482,cap
10,477,cap
11,389,cap
12,405,cap
13,410,cap
14,420,cap
15,819,cap
16,463,cap
17,425,cap
18,824,cap
19,957,cap
20,455,cap
21,387,cap
22,455,cap
23,455,cap
24,390,cap
25,483,cap
26,505,cap
27,452,cap
28,452,cap
29,452,cap
30,425,cap
