depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
24,4,0.75,0.5,0.0,0.5,0.75,0.4,-0.853276052065191,-294912.0,1733646503606
26,2,0.5,0.0,0.75,1.0,0.25,0.0,-0.49759745425616553,-491520.0,1733646503606
42,2,1.0,1.0,1.0,0.0,0.5,0.0,-0.5045671512258625,-491520.0,1733646503606
44,3,1.0,0.25,0.0,0.5,0.0,0.0,-0.7730749911753496,-491520.0,1733646503606
16,3,0.0,0.0,0.75,0.0,0.25,0.6,-0.7730749911753496,-491520.0,1733646503606
41,3,0.5,1.0,0.25,0.25,0.75,0.4,-0.5360257530494825,-393216.0,1733646503606
31,4,0.25,0.5,0.25,1.0,0.75,0.6,-0.9303981108028816,-294912.0,1733646503606
46,4,1.0,0.5,0.5,1.0,0.0,0.0,-0.9974101024457903,-294912.0,1733646503606
31,4,1.0,0.25,0.75,0.0,0.75,0.6,-0.8879357792683938,-294912.0,1733646503606
38,4,1.0,0.5,0.0,0.25,0.75,0.8,-0.7989159625145509,-393216.0,1733646503606
31,2,0.5,0.75,0.25,0.25,0.25,0.4,-0.7624039065973347,-491520.0,1733646503606
20,2,0.25,0.0,0.75,1.0,1.0,0.0,-0.705950850511915,-491520.0,1733646503606
21,4,1.0,0.5,0.25,0.75,0.25,0.8,-0.8882386054567816,-294912.0,1733646503606
15,4,0.0,0.25,0.0,1.0,0.25,0.6,-0.8905477036845838,-294912.0,1733646503606
45,2,0.25,0.75,0.0,0.25,0.75,0.2,-0.9387794390426831,-786432.0,1733646503606
42,2,0.0,0.0,0.75,0.25,0.5,0.0,-0.7221970555430236,-786432.0,1733646503606
18,4,0.0,0.0,0.0,0.25,0.25,0.6,-0.7730749911753496,-393216.0,1733646503606
25,4,1.0,0.25,0.5,1.0,0.5,0.2,-0.9298264336630514,-294912.0,1733646503606
34,3,1.0,0.5,0.75,0.5,0.0,0.4,-0.7640176816416325,-491520.0,1733646503606
42,2,0.75,0.75,0.5,1.0,0.0,0.4,-0.7936103343982008,-786432.0,1733646503606
36,3,0.5,0.75,0.25,0.75,0.75,0.8,-0.5360257530494825,-393216.0,1733646503606
15,4,0.25,0.0,0.0,0.5,0.5,0.0,-0.9834351269359429,-294912.0,1733646503606
21,3,1.0,0.5,1.0,0.0,0.75,0.2,-0.8150623366978011,-393216.0,1733646503606
13,2,0.75,0.0,0.25,0.25,0.75,0.0,-0.4854750427689666,-491520.0,1733646503606
42,3,0.0,0.0,0.0,0.25,0.0,0.6,-0.8397165555607582,-393216.0,1733646503606
39,2,0.0,0.25,0.75,0.75,0.25,0.0,-0.5045671512258625,-491520.0,1733646503606
49,3,0.75,0.25,0.0,1.0,0.25,0.2,-0.7640176816416325,-491520.0,1733646503606
29,3,0.25,1.0,0.5,0.0,0.5,0.6,-0.8509230694143965,-491520.0,1733646503606
16,2,0.5,1.0,0.5,0.0,0.5,0.8,-0.9387794390426831,-786432.0,1733646503606
14,2,0.0,0.0,1.0,0.0,0.25,0.2,-0.7221970555430236,-786432.0,1733646503606
31,3,0.25,0.5,0.75,1.0,0.0,0.6,-0.8509230694143965,-491520.0,1733646503606
12,4,1.0,0.0,1.0,0.75,0.75,0.2,-0.9818299995453221,-294912.0,1733646503606
16,2,0.0,0.5,0.75,1.0,1.0,0.6,-0.7528017679944504,-491520.0,1733646503606
32,3,1.0,1.0,0.5,0.0,0.5,0.6,-0.7640176816416325,-491520.0,1733646503606
44,4,0.0,1.0,1.0,0.0,0.25,0.0,-0.7730749911753496,-393216.0,1733646503606
30,2,0.75,1.0,1.0,0.5,1.0,0.8,-0.5275227509254146,-491520.0,1733646503606
