name,tcam_entries,f1_score
netbeacon,205,0.57
netbeacon,251,0.6
netbeacon,985,0.6
leo,2048,0.7
leo,4096,0.83
leo,16384,0.87
leo,65536,0.88
leo,262144,0.88
leo,1048576,0.88
leo,4194304,0.88
cap,22,0.47864774378281527
cap,24,0.48053989685244136
cap,35,0.48059591093519555
cap,41,0.4807329511389611
cap,43,0.4834008856682882
cap,48,0.4844254331352159
cap,49,0.48451700018501975
cap,57,0.48451700018501975
cap,73,0.6586678504840229
cap,76,0.6817479312355963
cap,123,0.6923884330497387
cap,131,0.6925782542959585
cap,137,0.7401215337842932
cap,143,0.89
cap,158,0.91
cap,359,0.9211848763940511
cap,371,0.946807993088834
cap,375,0.946807993088834
cap,380,0.946807993088834
cap,387,0.9611148588791394
cap,390,0.9611148588791394
cap,393,0.9611148588791394
cap,395,0.9611148588791394
cap,396,0.9611148588791394
cap,405,0.9676227790977252
cap,410,0.967655381060544
cap,420,0.9676635231973589
cap,4448,0.9676635231973589
