feature,partition
35,1
11,1
34,1
6,1
29,1
36,1
30,1
42,1
5,1
10,1
12,2
24,2
1,2
33,2
14,2
47,2
26,3
50,3
41,3
12,3
47,3
45,3
17,3
30,3
44,3
35,3
18,3
24,3
19,3
48,3
37,3
22,3
4,3
8,3
38,3
46,3
33,3
3,3
16,3
40,3
39,3
23,3
9,3
20,3
10,3
31,3
5,3
34,3
6,3
14,3
15,3
25,3
29,3
42,3
11,3
28,3
1,3
2,3
36,3
49,3
