feature,partition
2,1
10,1
36,1
4,1
45,1
44,1
37,1
24,1
46,1
3,1
12,1
6,1
16,1
31,1
25,1
30,1
48,1
11,1
41,1
9,1
23,1
13,1
21,1
43,1
26,1
35,1
38,2
12,2
21,2
43,2
24,2
23,2
48,2
9,2
27,2
41,2
36,2
15,2
26,2
31,2
